店铺名	订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
私房小站（盐田分店）	20160801417	苗宇怡	深圳	165	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-01 11:05:36
私房小站（福田分店）	20160801467	赵英	深圳	615	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-01 19:49:48
私房小站（番禺分店）	20160802171	范小萱	广州	299	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-02 13:55:27
私房小站（天河分店）	20160804673	张光熙	广州	690	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-04 20:38:09
私房小站（盐田分店）	20160805578	章欣怡	深圳	601	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-05 21:35:29
私房小站（盐田分店）	20160806524	覃明航	深圳	249	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-06 20:42:24
私房小站（番禺分店）	20160807428	蔺芸玫	广州	289	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-07 11:14:18
私房小站（番禺分店）	20160809534	陆涛	广州	356	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-09 18:03:30
私房小站（罗湖分店）	20160809772	唐轩	深圳	129	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-09 21:19:53
私房小站（盐田分店）	20160811409	李海峰	深圳	690	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-11 12:58:50
私房小站（福田分店）	20160813817	周子轩	深圳	517	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-13 11:18:40
私房小站（罗湖分店）	20160813799	王潘潘	深圳	733	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-13 11:16:55
私房小站（越秀分店）	20160813901	孙翌皓	广州	767	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-13 11:47:28
私房小站（盐田分店）	20160813243	蔺亚含	深圳	125	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-13 13:32:36
私房小站（越秀分店）	20160813243	李昊谦	广州	170	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-13 13:32:36
私房小站（天河分店）	20160814567	宁水灵	广州	456	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-14 20:15:59
私房小站（番禺分店）	20160817528	陶永潮	广州	475	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-17 19:14:29
私房小站（番禺分店）	20160818685	黄可颐	广州	617	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-18 17:24:15
私房小站（罗湖分店）	20160818538	沙琦	深圳	126	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-18 19:59:52
私房小站（越秀分店）	20160819440	牛午彤	广州	154	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-19 17:06:03
私房小站（番禺分店）	20160820873	刑欣悦	广州	704	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-20 12:46:36
私房小站（珠海分店）	20160821286	杨依萱	珠海	131	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-21 12:38:54
私房小站（罗湖分店）	20160821888	唐雅嘉	深圳	297	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-21 13:43:20
私房小站（禅城分店）	20160822499	艾少雄	佛山	337	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-22 21:57:47
私房小站（罗湖分店）	20160824674	王静宇	深圳	178	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-24 19:12:01
私房小站（天河分店）	20160826206	李孟夏	广州	447	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-26 13:15:33
私房小站（福田分店）	20160826554	袁昊天	深圳	708	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-26 19:50:47
私房小站（番禺分店）	20160828341	陈明杰	广州	156	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-28 12:04:51
私房小站（盐田分店）	20160801417	苗宇怡	深圳	165	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-01 11:07:07
私房小站（罗湖分店）	20160801415	张大鹏	深圳	466	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-01 12:59:48
私房小站（番禺分店）	20160801392	李小东	广州	704	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-01 13:06:10
私房小站（顺德分店）	20160801655	沈丹丹	佛山	263	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-01 17:33:05
私房小站（福田分店）	20160802719	刘爱梅	深圳	306	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-02 19:24:23
私房小站（天河分店）	20160803670	王祥业	广州	580	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-03 17:21:32
私房小站（珠海分店）	20160803749	冯颖	珠海	718	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-03 19:55:06
私房小站（盐田分店）	20160803619	周钰彤	深圳	720	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-03 21:01:02
私房小站（福田分店）	20160804547	卢子翰	深圳	501	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-04 17:38:45
私房小站（天河分店）	20160804673	张光熙	广州	690	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-04 20:47:33
私房小站（天河分店）	20160804443	柴启泽	广州	837	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-04 21:42:48
私房小站（越秀分店）	20160804557	沈瑶	广州	1023	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-04 22:02:55
私房小站（福田分店）	20160805382	董泽力	深圳	470	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-05 12:48:20
私房小站（天河分店）	20160805892	唐莉	广州	194	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-05 13:48:35
私房小站（天河分店）	20160805610	王振鸣	广州	139	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-05 18:43:16
私房小站（福田分店）	20160805681	张蒂菲	深圳	980	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-05 20:25:06
私房小站（天河分店）	20160805617	黄曼玉	广州	368	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-05 22:03:31
私房小站（越秀分店）	20160806447	柴豪逊	广州	642	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-06 17:20:57
私房小站（番禺分店）	20160806584	刑兴国	广州	1156	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-06 18:05:16
私房小站（天河分店）	20160806475	张大鹏	广州	142	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-06 19:06:02
私房小站（罗湖分店）	20160807840	俞亚萍	深圳	624	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-07 11:36:02
私房小站（盐田分店）	20160807846	赵月琼	深圳	829	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-07 13:39:14
私房小站（盐田分店）	20160807642	乌祈彬	深圳	565	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-07 18:08:57
私房小站（福田分店）	20160807568	李明军	深圳	398	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-07 18:26:51
私房小站（顺德分店）	20160808473	赵伟民	佛山	319	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-08 20:13:27
私房小站（天河分店）	20160810555	苗远清	广州	912	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-10 18:03:23
私房小站（顺德分店）	20160810732	习有汐	佛山	426	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-10 20:15:34
私房小站（福田分店）	20160810716	唐轩	深圳	824	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-10 20:47:17
私房小站（天河分店）	20160811390	魏煜翔	广州	560	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-11 13:38:35
私房小站（盐田分店）	20160812405	习一冰	深圳	802	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-12 12:53:41
私房小站（天河分店）	20160812684	李小东	广州	511	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-12 18:16:54
私房小站（番禺分店）	20160812453	易子歆	广州	378	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-12 18:12:37
私房小站（越秀分店）	20160812623	李海峰	广州	510	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-12 19:16:45
