订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
20160801517	许和怡	珠海	294	剁椒鱼头	55	1	28.0	鱼类	香辣	2016-08-01 21:11:44
20160801517	许和怡	珠海	294	麻辣小龙虾	99	1	78.0	虾类	香辣	2016-08-01 21:17:25
20160801517	许和怡	珠海	294	金玉良缘	30	1	12.0	茎菜类	微辣	2016-08-01 21:18:58
20160801517	许和怡	珠海	294	番茄有机花菜	32	1	10.0	花菜类	爽口	2016-08-01 21:19:10
20160801517	许和怡	珠海	294	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-01 21:21:15
20160801517	许和怡	珠海	294	白饭/大碗	10	1	5.0	米饭类	原味	2016-08-01 21:21:29
20160801517	许和怡	珠海	294	葱油凉拌藕片	30	1	10.0	茎菜类	爽口	2016-08-01 21:21:58
20160802193	吴秋雨	珠海	238	桂圆枸杞鸽子汤	48	1	32.0	其他肉类	香草味	2016-08-02 11:20:59
20160802193	吴秋雨	珠海	238	红酒土豆烧鸭腿	48	1	20.0	家禽类	微辣	2016-08-02 11:24:02
20160802193	吴秋雨	珠海	238	香烤牛排	55	1	30.0	牛肉类	香辣	2016-08-02 11:30:04
20160802193	吴秋雨	珠海	238	番茄有机花菜	32	1	10.0	花菜类	爽口	2016-08-02 11:30:48
20160802193	吴秋雨	珠海	238	意文柠檬汁	13	1	8.0	饮料类	柠檬味	2016-08-02 11:31:47
20160802193	吴秋雨	珠海	238	酸辣汤面	16	1	10.0	面食类	微辣	2016-08-02 11:32:08
20160802193	吴秋雨	珠海	238	蛋挞	8	1	4.0	糕点类	甜	2016-08-02 11:32:15
20160802193	吴秋雨	珠海	238	广式虾仁肠粉	18	1	10.0	肠粉类	咸鲜	2016-08-02 11:33:34
20160803749	冯颖	珠海	718	麻辣小龙虾	99	1	78.0	虾类	香辣	2016-08-03 19:47:15
20160803749	冯颖	珠海	718	辣炒鱿鱼	58	1	35.0	鱼类	微辣	2016-08-03 19:48:13
20160803749	冯颖	珠海	718	剁椒鱼头	55	1	28.0	鱼类	香辣	2016-08-03 19:48:24
20160803749	冯颖	珠海	718	豌豆薯仔猪骨汤	39	1	24.0	猪肉类	清淡	2016-08-03 19:49:17
20160803749	冯颖	珠海	718	自制猪肉脯	48	1	29.0	猪肉类	香甜	2016-08-03 19:50:09
20160803749	冯颖	珠海	718	焖猪手	58	1	34.0	猪肉类	香酥	2016-08-03 19:50:11
20160803749	冯颖	珠海	718	芹菜炒腰花	18	1	9.0	猪肉类	清香	2016-08-03 19:51:57
20160803749	冯颖	珠海	718	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-03 19:52:56
20160803749	冯颖	珠海	718	孜然羊排	88	1	49.0	羊肉类	微辣	2016-08-03 19:54:45
