订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
20160801392	李小东	广州	704	豌豆薯仔猪骨汤	39	1	24.0	猪肉类	清淡	2016-08-01 12:58:44
20160801392	李小东	广州	704	皮蛋瘦肉粥	16	1	9.0	粥类	咸鲜	2016-08-01 12:59:16
20160801392	李小东	广州	704	山药养生粥	19	1	10.0	粥类	咸鲜	2016-08-01 12:59:26
20160801392	李小东	广州	704	冰糖红豆薏米粥	15	1	9.0	粥类	爽口	2016-08-01 12:59:55
20160801392	李小东	广州	704	芹菜炒腰花	18	1	9.0	猪肉类	清香	2016-08-01 12:59:56
20160801392	李小东	广州	704	小米南瓜粥	13	1	7.0	粥类	爽口	2016-08-01 12:59:59
20160801392	李小东	广州	704	香菇鸡肉粥	15	1	10.0	粥类	咸鲜	2016-08-01 13:00:13
20160801392	李小东	广州	704	剁椒鱼头	55	1	28.0	鱼类	香辣	2016-08-01 13:00:33
20160801392	李小东	广州	704	农夫山泉NFC果汁100%橙汁	6	1	3.0	饮料类	果味	2016-08-01 13:00:42
20160801392	李小东	广州	704	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-01 13:00:59
20160801392	李小东	广州	704	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-01 13:01:50
20160801392	李小东	广州	704	露露无糖杏仁露	7	1	3.0	饮料类	果味	2016-08-01 13:02:06
20160801392	李小东	广州	704	北冰洋汽水	5	1	2.0	饮料类	果味	2016-08-01 13:02:29
20160801392	李小东	广州	704	意文柠檬汁	13	1	8.0	饮料类	柠檬味	2016-08-01 13:02:47
20160801392	李小东	广州	704	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-01 13:03:59
20160801392	李小东	广州	704	美妙绝伦之白莲花	29	1	16.0	叶菜类	爽口	2016-08-01 13:04:08
20160801392	李小东	广州	704	炝炒大白菜	29	1	15.0	叶菜类	微辣	2016-08-01 13:04:50
20160801392	李小东	广州	704	凉拌蒜蓉西兰花	29	1	9.0	叶菜类	蒜蓉	2016-08-01 13:05:03
20160801392	李小东	广州	704	孜然羊排	88	1	49.0	羊肉类	微辣	2016-08-01 13:05:13
20160801392	李小东	广州	704	凉拌菠菜	27	1	9.0	叶菜类	爽口	2016-08-01 13:05:56
20160801392	李小东	广州	704	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-01 13:06:10
20160801392	李小东	广州	704	油焖麻辣虾	65	1	43.0	虾类	麻辣	2016-08-01 13:06:17
20160801392	李小东	广州	704	香辣爆羊肝	28	1	15.0	羊肉类	香辣	2016-08-01 13:06:38
20160801392	李小东	广州	704	青岛啤酒罐装	7	1	4.0	啤酒类	爽口	2016-08-01 13:07:31
20160801433	李达明	广州	511	爆炒鳝碌	55	1	20.0	其他水产	微辣	2016-08-01 13:38:27
20160801433	李达明	广州	511	红酒炖羊肉	108	1	69.0	羊肉类	微辣	2016-08-01 13:39:07
20160801433	李达明	广州	511	葱姜炒蟹	109	1	80.0	蟹类	葱香	2016-08-01 13:41:12
20160801433	李达明	广州	511	青岛啤酒罐装	7	2	4.0	啤酒类	爽口	2016-08-01 13:41:38
20160801433	李达明	广州	511	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-01 13:44:31
20160801433	李达明	广州	511	特醇嘉士伯啤酒罐装	6	2	2.0	啤酒类	爽口	2016-08-01 13:46:57
20160801433	李达明	广州	511	百威啤酒罐装	6	2	3.0	啤酒类	爽口	2016-08-01 13:48:15
20160801433	李达明	广州	511	辣炒鱿鱼	58	1	35.0	鱼类	微辣	2016-08-01 13:48:39
20160801433	李达明	广州	511	白饭/大碗	10	1	5.0	米饭类	原味	2016-08-01 13:49:06
20160801433	李达明	广州	511	培根花菜	35	1	15.0	花菜类	爽口	2016-08-01 13:50:03
20160801433	李达明	广州	511	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-01 13:50:15
20160801458	牛长金	广州	700	蒜香辣花甲	45	1	29.0	贝壳类	微辣	2016-08-01 19:27:29
20160801458	牛长金	广州	700	剁椒鱼头	55	1	28.0	鱼类	香辣	2016-08-01 19:28:12
20160801458	牛长金	广州	700	凉拌蒜蓉西兰花	29	1	9.0	叶菜类	蒜蓉	2016-08-01 19:28:20
20160801458	牛长金	广州	700	木须豌豆	32	1	19.0	果菜类	爽口	2016-08-01 19:28:45
20160801458	牛长金	广州	700	辣炒鱿鱼	58	1	35.0	鱼类	微辣	2016-08-01 19:28:59
20160801458	牛长金	广州	700	酸辣藕丁	33	1	15.0	茎菜类	酸辣	2016-08-01 19:29:13
20160801458	牛长金	广州	700	炝炒大白菜	29	1	15.0	叶菜类	微辣	2016-08-01 19:29:44
20160801458	牛长金	广州	700	香菇鸡肉粥	15	1	10.0	粥类	咸鲜	2016-08-01 19:29:47
20160801458	牛长金	广州	700	干锅田鸡	88	1	40.0	其他肉类	麻辣	2016-08-01 19:30:06
20160801458	牛长金	广州	700	桂圆枸杞鸽子汤	48	1	32.0	其他肉类	香草味	2016-08-01 19:30:15
20160801458	牛长金	广州	700	五香酱驴肉	52	1	36.0	其他肉类	酱香	2016-08-01 19:30:47
20160801458	牛长金	广州	700	路易拉菲红酒干红	158	1	100.0	红酒类	果味	2016-08-01 19:30:52
20160801458	牛长金	广州	700	避风塘炒蟹	48	1	29.0	蟹类	微辣	2016-08-01 19:31:18
20160801458	牛长金	广州	700	白饭/大碗	10	1	5.0	米饭类	原味	2016-08-01 19:31:45
20160801452	曾耀扬	广州	167	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-01 21:19:16
20160801452	曾耀扬	广州	167	白饭/小碗	1	2	0.5	米饭类	原味	2016-08-01 21:20:10
20160801452	曾耀扬	广州	167	蛋挞	8	1	4.0	糕点类	甜	2016-08-01 21:20:59
20160801452	曾耀扬	广州	167	西瓜胡萝卜沙拉	26	1	8.0	根菜类	甜	2016-08-01 21:21:09
20160801452	曾耀扬	广州	167	豌豆薯仔猪骨汤	39	1	24.0	猪肉类	清淡	2016-08-01 21:25:16
20160801452	曾耀扬	广州	167	凉拌菠菜	27	1	9.0	叶菜类	爽口	2016-08-01 21:29:43
20160802368	周子轩	广州	211	番茄甘蓝	33	1	10.0	根菜类	蒜香	2016-08-02 13:16:08
20160802368	周子轩	广州	211	核桃葡萄干土司	19	1	10.0	甜点类	酸甜	2016-08-02 13:19:05
20160802368	周子轩	广州	211	皮蛋瘦肉粥	16	1	9.0	粥类	咸鲜	2016-08-02 13:20:02
20160802368	周子轩	广州	211	张裕葡萄酒张裕赤霞珠干红	32	1	20.0	红酒类	果味	2016-08-02 13:20:04
20160802368	周子轩	广州	211	姜葱炒花蟹	45	1	27.0	蟹类	爽口	2016-08-02 13:22:16
20160802171	范小萱	广州	299	油焖麻辣虾	65	1	43.0	虾类	麻辣	2016-08-02 13:51:18
20160802171	范小萱	广州	299	蒜香辣花甲	45	1	29.0	贝壳类	微辣	2016-08-02 13:55:12
20160802171	范小萱	广州	299	蒜蓉生蚝	49	1	28.0	贝壳类	蒜香	2016-08-02 13:55:27
20160802171	范小萱	广州	299	番茄有机花菜	32	1	10.0	花菜类	爽口	2016-08-02 13:57:34
20160802171	范小萱	广州	299	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-02 13:59:08
20160802171	范小萱	广州	299	白饭/大碗	10	1	5.0	米饭类	原味	2016-08-02 13:59:15
20160802171	范小萱	广州	299	冰糖红豆薏米粥	15	4	9.0	粥类	爽口	2016-08-02 14:00:06
20160803177	蓝梦琳	广州	137	蒜香辣花甲	45	1	29.0	贝壳类	微辣	2016-08-03 12:56:20
20160803177	蓝梦琳	广州	137	桂圆枸杞鸽子汤	48	1	32.0	其他肉类	香草味	2016-08-03 12:57:25
20160803177	蓝梦琳	广州	137	照烧鸡腿	16	1	6.0	家禽类	微辣	2016-08-03 12:57:46
20160803177	蓝梦琳	广州	137	青炒扁豆	28	1	10.0	果菜类	爽口	2016-08-03 13:00:34
20160803649	王瑾轩	广州	350	芹黄鳝丝	58	1	30.0	其他水产	爽口	2016-08-03 21:25:35
20160803649	王瑾轩	广州	350	糖醋蕃茄溜青花	33	1	12.0	花菜类	爽口	2016-08-03 21:27:24
20160803649	王瑾轩	广州	350	白斩鸡	88	1	54.0	家禽类	香酥	2016-08-03 21:27:55
20160803649	王瑾轩	广州	350	肉丁茄子	39	1	23.0	果菜类	爽口	2016-08-03 21:29:39
20160803649	王瑾轩	广州	350	大理石奶油蛋糕	13	1	8.0	甜点类	奶香	2016-08-03 21:30:37
20160803649	王瑾轩	广州	350	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-03 21:30:45
20160803649	王瑾轩	广州	350	冰糖红豆薏米粥	15	1	9.0	粥类	爽口	2016-08-03 21:32:39
20160803649	王瑾轩	广州	350	清爽拌凉面	15	1	10.0	面食类	微辣	2016-08-03 21:36:37
20160803649	王瑾轩	广州	350	黄油曲奇饼干	16	1	10.0	糕点类	奶香	2016-08-03 21:39:07
20160803649	王瑾轩	广州	350	五色糯米饭(七色)	35	1	17.0	米饭类	清淡	2016-08-03 21:39:37
20160804383	黄哲	广州	705	葱姜炒蟹	109	1	80.0	蟹类	葱香	2016-08-04 12:09:13
20160804383	黄哲	广州	705	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-04 12:09:50
20160804383	黄哲	广州	705	倒立蒸梭子蟹	169	1	119.0	蟹类	爽口	2016-08-04 12:10:29
20160804383	黄哲	广州	705	剁椒鱼头	55	1	28.0	鱼类	香辣	2016-08-04 12:10:42
20160804383	黄哲	广州	705	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-04 12:12:52
20160804383	黄哲	广州	705	大理石奶油蛋糕	13	1	8.0	甜点类	奶香	2016-08-04 12:13:06
20160804383	黄哲	广州	705	南瓜芝士包	10	1	5.0	面包类	甜	2016-08-04 12:15:21
20160804383	黄哲	广州	705	葱油凉拌藕片	30	1	10.0	茎菜类	爽口	2016-08-04 12:15:26
20160804383	黄哲	广州	705	豌豆薯仔猪骨汤	39	1	24.0	猪肉类	清淡	2016-08-04 12:19:27
20160804383	黄哲	广州	705	青炒扁豆	28	1	10.0	果菜类	爽口	2016-08-04 12:19:32
20160804383	黄哲	广州	705	冰糖红豆薏米粥	15	1	9.0	粥类	爽口	2016-08-04 12:19:49
20160804383	黄哲	广州	705	小米南瓜粥	13	1	7.0	粥类	爽口	2016-08-04 12:22:03
20160804383	黄哲	广州	705	鸡蛋、肉末肠粉	13	1	8.0	肠粉类	咸鲜	2016-08-04 12:22:30
20160804383	黄哲	广州	705	核桃葡萄干土司	19	1	10.0	甜点类	酸甜	2016-08-04 12:23:22
20160804383	黄哲	广州	705	花蛤蒸蛋	37	1	13.0	贝壳类	葱香	2016-08-04 12:24:02
20160804383	黄哲	广州	705	自制猪肉脯	48	1	29.0	猪肉类	香甜	2016-08-04 12:24:14
20160804383	黄哲	广州	705	露露无糖杏仁露	7	1	3.0	饮料类	果味	2016-08-04 12:26:49
20160805831	陈宇	广州	507	香辣腐乳炒虾	56	1	33.0	虾类	香辣	2016-08-05 12:36:29
20160805831	陈宇	广州	507	自制猪肉脯	48	1	29.0	猪肉类	香甜	2016-08-05 12:37:33
20160805831	陈宇	广州	507	芹菜炒腰花	18	1	9.0	猪肉类	清香	2016-08-05 12:38:05
20160805831	陈宇	广州	507	山药养生粥	19	1	10.0	粥类	咸鲜	2016-08-05 12:39:50
20160805831	陈宇	广州	507	辣炒鱿鱼	58	1	35.0	鱼类	微辣	2016-08-05 12:42:30
20160805831	陈宇	广州	507	清蒸海鱼	78	1	55.0	鱼类	清淡	2016-08-05 12:42:35
20160805831	陈宇	广州	507	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-05 12:43:15
20160805831	陈宇	广州	507	凉拌菠菜	27	1	9.0	叶菜类	爽口	2016-08-05 12:45:04
20160805831	陈宇	广州	507	孜然羊排	88	1	49.0	羊肉类	微辣	2016-08-05 12:46:24
20160805831	陈宇	广州	507	南瓜芝士包	10	1	5.0	面包类	甜	2016-08-05 12:47:50
20160805831	陈宇	广州	507	鱼香肉丝拌面	18	1	12.0	面食类	微辣	2016-08-05 12:48:38
20160805831	陈宇	广州	507	黑米恋上葡萄	33	1	15.0	米饭类	甜	2016-08-05 12:48:43
20160805831	陈宇	广州	507	照烧鸡腿	16	1	6.0	家禽类	微辣	2016-08-05 12:49:16
20160805541	冷志冬	广州	189	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-05 18:37:38
20160805541	冷志冬	广州	189	剁椒鱼头	55	1	28.0	鱼类	香辣	2016-08-05 18:42:34
20160805541	冷志冬	广州	189	一品香酥藕	10	1	4.0	甜点类	香酥	2016-08-05 18:44:50
20160805541	冷志冬	广州	189	百威啤酒罐装	6	1	3.0	啤酒类	爽口	2016-08-05 18:48:17
20160805541	冷志冬	广州	189	蒜香包	13	1	8.0	面包类	蒜香	2016-08-05 18:52:02
20160805541	冷志冬	广州	189	青岛啤酒罐装	7	1	4.0	啤酒类	爽口	2016-08-05 18:52:17
20160805541	冷志冬	广州	189	黑米恋上葡萄	33	1	15.0	米饭类	甜	2016-08-05 18:52:35
20160805652	申鹭达	广州	346	凉拌海带豆芽紫菜	35	1	15.0	海藻类	爽口	2016-08-05 18:53:11
20160805652	申鹭达	广州	346	啤酒鸭	48	1	25.0	家禽类	香辣	2016-08-05 18:53:35
20160805652	申鹭达	广州	346	番茄蛋汤	25	1	13.0	家禽类	清淡	2016-08-05 18:54:22
20160805652	申鹭达	广州	346	番茄炖秋葵	35	1	15.0	茎菜类	酸甜	2016-08-05 18:58:19
20160805652	申鹭达	广州	346	青炒扁豆	28	1	10.0	果菜类	爽口	2016-08-05 18:58:24
20160805652	申鹭达	广州	346	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-05 18:59:14
20160805652	申鹭达	广州	346	宝宝版牛肉肠粉	15	1	10.0	肠粉类	咸鲜	2016-08-05 18:59:35
20160805652	申鹭达	广州	346	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-05 19:02:15
20160805652	申鹭达	广州	346	孜然羊排	88	1	49.0	羊肉类	微辣	2016-08-05 19:02:25
20160805652	申鹭达	广州	346	农夫山泉NFC果汁100%橙汁	6	1	3.0	饮料类	果味	2016-08-05 19:03:55
20160805652	申鹭达	广州	346	露露无糖杏仁露	7	1	3.0	饮料类	果味	2016-08-05 19:04:25
20160805545	黄可颐	广州	250	香辣腐乳炒虾	56	1	33.0	虾类	香辣	2016-08-05 20:59:58
20160805545	黄可颐	广州	250	五香酱驴肉	52	1	36.0	其他肉类	酱香	2016-08-05 21:03:08
20160805545	黄可颐	广州	250	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-05 21:03:31
20160805545	黄可颐	广州	250	香菇鹌鹑蛋	39	1	17.0	茎菜类	爽口	2016-08-05 21:04:50
20160805545	黄可颐	广州	250	西瓜胡萝卜沙拉	26	1	8.0	根菜类	甜	2016-08-05 21:04:56
20160805545	黄可颐	广州	250	意文柠檬汁	13	1	8.0	饮料类	柠檬味	2016-08-05 21:09:53
20160805545	黄可颐	广州	250	白饭/大碗	10	2	5.0	米饭类	原味	2016-08-05 21:14:37
20160805545	黄可颐	广州	250	山药养生粥	19	1	10.0	粥类	咸鲜	2016-08-05 21:15:09
20160806814	夏雪	广州	331	焖猪手	58	1	34.0	猪肉类	香酥	2016-08-06 11:49:06
20160806814	夏雪	广州	331	辣炒鱿鱼	58	1	35.0	鱼类	微辣	2016-08-06 11:49:21
20160806814	夏雪	广州	331	金玉良缘	30	1	12.0	茎菜类	微辣	2016-08-06 11:50:36
20160806814	夏雪	广州	331	酸辣藕丁	33	1	15.0	茎菜类	酸辣	2016-08-06 11:50:43
20160806814	夏雪	广州	331	蓝带啤酒罐装	9	1	5.0	啤酒类	爽口	2016-08-06 11:52:11
20160806814	夏雪	广州	331	一品香酥藕	10	1	4.0	甜点类	香酥	2016-08-06 11:54:02
20160806814	夏雪	广州	331	炝炒大白菜	29	1	15.0	叶菜类	微辣	2016-08-06 11:54:16
20160806814	夏雪	广州	331	哈尔滨啤酒罐装	7	1	3.0	啤酒类	爽口	2016-08-06 11:54:16
20160806814	夏雪	广州	331	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-06 11:56:34
20160806814	夏雪	广州	331	黑米恋上葡萄	33	1	15.0	米饭类	甜	2016-08-06 11:56:36
20160806814	夏雪	广州	331	番茄蛋汤	25	1	13.0	家禽类	清淡	2016-08-06 11:57:48
20160806855	柴莉娇	广州	689	核桃葡萄干土司	19	1	10.0	甜点类	酸甜	2016-08-06 13:40:14
20160806855	柴莉娇	广州	689	爆炒鸡翅	56	1	31.0	家禽类	香辣	2016-08-06 13:40:49
