订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
20160803320	蔡雨桐	佛山	457	麻辣小龙虾	99	1	78.0	虾类	香辣	2016-08-03 13:03:19
20160803320	蔡雨桐	佛山	457	姜葱炒花蟹	45	1	27.0	蟹类	爽口	2016-08-03 13:07:31
20160803320	蔡雨桐	佛山	457	孜然羊排	88	1	49.0	羊肉类	微辣	2016-08-03 13:11:58
20160803320	蔡雨桐	佛山	457	路易拉菲红酒干红	158	1	100.0	红酒类	果味	2016-08-03 13:14:53
20160803320	蔡雨桐	佛山	457	炝炒大白菜	29	1	15.0	叶菜类	微辣	2016-08-03 13:14:59
20160803320	蔡雨桐	佛山	457	山药养生粥	19	2	10.0	粥类	咸鲜	2016-08-03 13:18:58
20160806386	刘东方	佛山	895	芝士烩波士顿龙虾	175	1	130.0	虾类	爽口	2016-08-06 11:05:05
20160806386	刘东方	佛山	895	倒立蒸梭子蟹	169	1	119.0	蟹类	爽口	2016-08-06 11:06:02
20160806386	刘东方	佛山	895	花蛤蒸蛋	37	1	13.0	贝壳类	葱香	2016-08-06 11:07:53
20160806386	刘东方	佛山	895	鲜美鳝鱼	55	1	19.0	其他水产	咸鲜	2016-08-06 11:09:44
20160806386	刘东方	佛山	895	百里香奶油烤红酒牛肉	178	1	70.0	牛肉类	香甜	2016-08-06 11:10:56
20160806386	刘东方	佛山	895	白斩鸡	88	1	54.0	家禽类	香酥	2016-08-06 11:12:37
20160806386	刘东方	佛山	895	爆炒猪肝	68	1	32.0	猪肉类	油腻	2016-08-06 11:12:55
20160806386	刘东方	佛山	895	50度古井贡酒	90	1	20.0	白酒类	爽口	2016-08-06 11:13:47
20160806386	刘东方	佛山	895	五色糯米饭(七色)	35	1	17.0	米饭类	清淡	2016-08-06 11:17:13
20160807881	魏乐	佛山	730	香酥两吃大虾	89	1	55.0	虾类	香酥	2016-08-07 13:33:14
20160807881	魏乐	佛山	730	自制猪肉脯	48	1	29.0	猪肉类	香甜	2016-08-07 13:34:28
20160807881	魏乐	佛山	730	不加一滴油的酸奶蛋糕	7	1	4.0	糕点类	甜	2016-08-07 13:35:09
20160807881	魏乐	佛山	730	50度古井贡酒	90	1	20.0	白酒类	爽口	2016-08-07 13:35:31
20160807881	魏乐	佛山	730	黑米恋上葡萄	33	1	15.0	米饭类	甜	2016-08-07 13:36:28
20160807881	魏乐	佛山	730	焖猪手	58	1	34.0	猪肉类	香酥	2016-08-07 13:36:45
20160807881	魏乐	佛山	730	芹菜炒腰花	18	1	9.0	猪肉类	清香	2016-08-07 13:36:46
20160807881	魏乐	佛山	730	倒立蒸梭子蟹	169	1	119.0	蟹类	爽口	2016-08-07 13:41:18
20160807881	魏乐	佛山	730	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-07 13:43:48
20160807881	魏乐	佛山	730	大理石奶油蛋糕	13	1	8.0	甜点类	奶香	2016-08-07 13:45:53
20160807881	魏乐	佛山	730	芝士烩波士顿龙虾	175	1	130.0	虾类	爽口	2016-08-07 13:47:43
20160807755	黄哲	佛山	220	香辣腐乳炒虾	56	1	33.0	虾类	香辣	2016-08-07 17:10:55
20160807755	黄哲	佛山	220	山药养生粥	19	3	10.0	粥类	咸鲜	2016-08-07 17:13:13
20160807755	黄哲	佛山	220	清蒸海鱼	78	1	55.0	鱼类	清淡	2016-08-07 17:14:16
20160807755	黄哲	佛山	220	炝炒大白菜	29	1	15.0	叶菜类	微辣	2016-08-07 17:20:32
20160808628	柴亟汛	佛山	842	麻辣小龙虾	99	1	78.0	虾类	香辣	2016-08-08 20:05:56
20160808628	柴亟汛	佛山	842	冰糖红豆薏米粥	15	1	9.0	粥类	爽口	2016-08-08 20:06:05
20160808628	柴亟汛	佛山	842	小米南瓜粥	13	1	7.0	粥类	爽口	2016-08-08 20:06:38
20160808628	柴亟汛	佛山	842	桂圆枸杞鸽子汤	48	1	32.0	其他肉类	香草味	2016-08-08 20:07:08
20160808628	柴亟汛	佛山	842	北冰洋汽水	5	1	2.0	饮料类	果味	2016-08-08 20:07:33
20160808628	柴亟汛	佛山	842	凉拌菠菜	27	1	9.0	叶菜类	爽口	2016-08-08 20:08:03
20160808628	柴亟汛	佛山	842	芹黄鳝丝	58	1	30.0	其他水产	爽口	2016-08-08 20:08:18
20160808628	柴亟汛	佛山	842	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-08 20:08:34
20160808628	柴亟汛	佛山	842	糖醋蕃茄溜青花	33	1	12.0	花菜类	爽口	2016-08-08 20:09:35
20160808628	柴亟汛	佛山	842	皮蛋瘦肉粥	16	1	9.0	粥类	咸鲜	2016-08-08 20:10:13
20160808628	柴亟汛	佛山	842	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-08 20:11:10
20160808628	柴亟汛	佛山	842	紫薯面包卷	20	1	10.0	甜点类	甜	2016-08-08 20:11:25
20160808628	柴亟汛	佛山	842	老式面包	19	1	10.0	面包类	甜	2016-08-08 20:11:49
20160808628	柴亟汛	佛山	842	牛肉鸡蛋肠粉	20	1	10.0	肠粉类	咸鲜	2016-08-08 20:12:16
