订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
20160801301	李靖	深圳	321	白斩鸡	88	1	54.0	家禽类	香酥	2016-08-01 11:15:57
20160801301	李靖	深圳	321	香烤牛排	55	1	30.0	牛肉类	香辣	2016-08-01 11:19:12
20160801301	李靖	深圳	321	干锅田鸡	88	1	40.0	其他肉类	麻辣	2016-08-01 11:22:21
20160801301	李靖	深圳	321	桂圆枸杞鸽子汤	48	1	32.0	其他肉类	香草味	2016-08-01 11:22:53
20160801301	李靖	深圳	321	番茄有机花菜	32	1	10.0	花菜类	爽口	2016-08-01 11:23:56
20160801301	李靖	深圳	321	白饭/大碗	10	1	5.0	米饭类	原味	2016-08-01 11:31:15
20160801415	张大鹏	深圳	466	避风塘炒蟹	48	1	29.0	蟹类	微辣	2016-08-01 12:51:38
20160801415	张大鹏	深圳	466	花蛤蒸蛋	37	1	13.0	贝壳类	葱香	2016-08-01 12:52:37
20160801415	张大鹏	深圳	466	小炒羊腰	36	1	20.0	羊肉类	微辣	2016-08-01 12:59:03
20160801415	张大鹏	深圳	466	蒙古烤羊腿	48	1	25.0	羊肉类	微辣	2016-08-01 12:59:48
20160801415	张大鹏	深圳	466	五彩藕苗	35	1	15.0	茎菜类	爽口	2016-08-01 13:01:27
20160801415	张大鹏	深圳	466	豌豆薯仔猪骨汤	39	1	24.0	猪肉类	清淡	2016-08-01 13:02:41
20160801415	张大鹏	深圳	466	红酒炖羊肉	108	1	69.0	羊肉类	微辣	2016-08-01 13:06:16
20160801415	张大鹏	深圳	466	42度海之蓝	99	1	50.0	白酒类	辣	2016-08-01 13:07:10
20160801415	张大鹏	深圳	466	白饭/大碗	10	1	5.0	米饭类	原味	2016-08-01 13:07:35
20160801415	张大鹏	深圳	466	农夫山泉NFC果汁100%橙汁	6	1	3.0	饮料类	果味	2016-08-01 13:08:40
20160802585	袁佳玉	深圳	659	芝士烩波士顿龙虾	175	1	130.0	虾类	爽口	2016-08-02 20:17:12
20160802585	袁佳玉	深圳	659	焖猪手	58	1	34.0	猪肉类	香酥	2016-08-02 20:17:22
20160802585	袁佳玉	深圳	659	芹菜炒腰花	18	1	9.0	猪肉类	清香	2016-08-02 20:20:39
20160802585	袁佳玉	深圳	659	香辣腐乳炒虾	56	1	33.0	虾类	香辣	2016-08-02 20:20:42
20160802585	袁佳玉	深圳	659	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-02 20:21:07
20160802585	袁佳玉	深圳	659	剁椒鱼头	55	1	28.0	鱼类	香辣	2016-08-02 20:21:21
20160802585	袁佳玉	深圳	659	美妙绝伦之白莲花	29	1	16.0	叶菜类	爽口	2016-08-02 20:24:21
20160802585	袁佳玉	深圳	659	清蒸蝶鱼	56	1	30.0	鱼类	爽口	2016-08-02 20:24:41
20160802585	袁佳玉	深圳	659	红酒炖羊肉	108	1	69.0	羊肉类	微辣	2016-08-02 20:24:50
20160802585	袁佳玉	深圳	659	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-02 20:25:32
20160802613	苗欣悦	深圳	379	清蒸海鱼	78	1	55.0	鱼类	清淡	2016-08-02 21:01:09
20160802613	苗欣悦	深圳	379	辣炒鱿鱼	58	1	35.0	鱼类	微辣	2016-08-02 21:02:33
20160802613	苗欣悦	深圳	379	芝麻烤紫菜	25	1	10.0	海藻类	香酥	2016-08-02 21:02:45
20160802613	苗欣悦	深圳	379	美妙绝伦之白莲花	29	1	16.0	叶菜类	爽口	2016-08-02 21:02:58
20160802613	苗欣悦	深圳	379	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-02 21:04:22
20160802613	苗欣悦	深圳	379	五色糯米饭(七色)	35	1	17.0	米饭类	清淡	2016-08-02 21:06:25
20160802613	苗欣悦	深圳	379	芹菜炒腰花	18	1	9.0	猪肉类	清香	2016-08-02 21:07:24
20160802613	苗欣悦	深圳	379	孜然羊排	88	1	49.0	羊肉类	微辣	2016-08-02 21:08:16
20160802613	苗欣悦	深圳	379	白饭/大碗	10	1	5.0	米饭类	原味	2016-08-02 21:10:28
20160803488	李佩珊	深圳	349	麻辣小龙虾	99	1	78.0	虾类	香辣	2016-08-03 20:08:39
20160803488	李佩珊	深圳	349	辣炒鱿鱼	58	1	35.0	鱼类	微辣	2016-08-03 20:09:36
20160803488	李佩珊	深圳	349	玉竹南北杏鸭腿汤	35	1	12.0	家禽类	爽口	2016-08-03 20:10:10
20160803488	李佩珊	深圳	349	焖猪手	58	1	34.0	猪肉类	香酥	2016-08-03 20:10:19
20160803488	李佩珊	深圳	349	独家薄荷鲜虾牛肉卷	45	1	30.0	牛肉类	咸鲜	2016-08-03 20:11:24
20160803488	李佩珊	深圳	349	大理石奶油蛋糕	13	1	8.0	甜点类	奶香	2016-08-03 20:14:17
20160803488	李佩珊	深圳	349	打卤面	26	1	10.0	面食类	爽口	2016-08-03 20:20:05
20160803488	李佩珊	深圳	349	冰糖红豆薏米粥	15	1	9.0	粥类	爽口	2016-08-03 20:25:11
20160805575	李围围	深圳	908	香酥两吃大虾	89	1	55.0	虾类	香酥	2016-08-05 18:42:51
20160805575	李围围	深圳	908	鲜美鳝鱼	55	1	19.0	其他水产	咸鲜	2016-08-05 18:44:21
20160805575	李围围	深圳	908	葱姜炒蟹	109	1	80.0	蟹类	葱香	2016-08-05 18:44:44
20160805575	李围围	深圳	908	百里香奶油烤红酒牛肉	178	1	70.0	牛肉类	香甜	2016-08-05 18:45:05
20160805575	李围围	深圳	908	清蒸海鱼	78	1	55.0	鱼类	清淡	2016-08-05 18:46:12
20160805575	李围围	深圳	908	干锅田鸡	88	1	40.0	其他肉类	麻辣	2016-08-05 18:51:39
20160805575	李围围	深圳	908	桂圆肉红豆八宝饭	39	1	18.0	米饭类	清淡	2016-08-05 18:52:22
20160805575	李围围	深圳	908	清炒菊花菜	30	1	9.0	花菜类	蒜香	2016-08-05 18:53:40
20160805575	李围围	深圳	908	53度茅台	128	1	65.0	白酒类	清香	2016-08-05 18:53:48
20160805575	李围围	深圳	908	牛尾汤	40	1	20.0	牛肉类	爽口	2016-08-05 18:54:51
20160805575	李围围	深圳	908	五色糯米饭(七色)	35	1	17.0	米饭类	清淡	2016-08-05 18:55:08
20160805575	李围围	深圳	908	豌豆薯仔猪骨汤	39	1	24.0	猪肉类	清淡	2016-08-05 18:57:17
20160805502	荆哲	深圳	473	香辣腐乳炒虾	56	1	33.0	虾类	香辣	2016-08-05 20:56:01
20160805502	荆哲	深圳	473	芹菜炒腰花	18	1	9.0	猪肉类	清香	2016-08-05 20:57:35
20160805502	荆哲	深圳	473	清蒸海鱼	78	1	55.0	鱼类	清淡	2016-08-05 21:00:12
