订单号	会员名称	店铺所在地	消费金额	菜品名称	菜品单价	消费数量（单个菜品）	菜品成本	菜品类别	菜品口味	点餐时间
20160802166	莫子建	广州	260	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-02 11:24:15
20160802166	莫子建	广州	260	葱姜炒蟹	109	1	80.0	蟹类	葱香	2016-08-02 11:24:27
20160802166	莫子建	广州	260	啤酒鸭	48	1	25.0	家禽类	香辣	2016-08-02 11:24:47
20160802166	莫子建	广州	260	百威啤酒罐装	6	2	3.0	啤酒类	爽口	2016-08-02 11:25:15
20160802166	莫子建	广州	260	大理石奶油蛋糕	13	2	8.0	甜点类	奶香	2016-08-02 11:30:16
20160802342	苗家畅	广州	109	清蒸海鱼	78	1	55.0	鱼类	清淡	2016-08-02 11:58:57
20160802342	苗家畅	广州	109	辣炒海带丝	19	1	8.0	海藻类	微辣	2016-08-02 12:05:02
20160802342	苗家畅	广州	109	一品香酥藕	10	1	4.0	甜点类	香酥	2016-08-02 12:05:35
20160802342	苗家畅	广州	109	白饭/小碗	1	2	0.5	米饭类	原味	2016-08-02 12:10:24
20160802367	黄文轩	广州	639	麻辣小龙虾	99	1	78.0	虾类	香辣	2016-08-02 12:58:38
20160802367	黄文轩	广州	639	爆炒鳝碌	55	1	20.0	其他水产	微辣	2016-08-02 12:59:05
20160802367	黄文轩	广州	639	三色凉拌手撕兔	66	1	38.0	其他肉类	香辣	2016-08-02 13:01:04
20160802367	黄文轩	广州	639	炝炒大白菜	29	1	15.0	叶菜类	微辣	2016-08-02 13:01:36
20160802367	黄文轩	广州	639	谷稻小庄	38	1	20.0	饮料类	果味	2016-08-02 13:05:05
20160802367	黄文轩	广州	639	路易拉菲红酒干红	158	1	100.0	红酒类	果味	2016-08-02 13:06:27
20160802367	黄文轩	广州	639	不加一滴油的酸奶蛋糕	7	1	4.0	糕点类	甜	2016-08-02 13:10:43
20160802367	黄文轩	广州	639	蛋挞	8	1	4.0	糕点类	甜	2016-08-02 13:12:09
20160802367	黄文轩	广州	639	土豆西红柿汤面	13	1	8.0	面食类	酸辣	2016-08-02 13:15:01
20160802367	黄文轩	广州	639	五色糯米饭(七色)	35	1	17.0	米饭类	清淡	2016-08-02 13:15:40
20160802367	黄文轩	广州	639	西瓜胡萝卜沙拉	26	1	8.0	根菜类	甜	2016-08-02 13:16:18
20160802367	黄文轩	广州	639	香菇鹌鹑蛋	39	1	17.0	茎菜类	爽口	2016-08-02 13:17:56
20160802548	关庭	广州	850	芝士烩波士顿龙虾	175	1	130.0	虾类	爽口	2016-08-02 18:55:53
20160802548	关庭	广州	850	焖猪手	58	1	34.0	猪肉类	香酥	2016-08-02 18:58:03
20160802548	关庭	广州	850	倒立蒸梭子蟹	169	1	119.0	蟹类	爽口	2016-08-02 18:59:34
20160802548	关庭	广州	850	大蒜苋菜	30	1	18.0	叶菜类	蒜香	2016-08-02 19:00:21
20160802548	关庭	广州	850	油焖麻辣虾	65	1	43.0	虾类	麻辣	2016-08-02 19:01:07
20160802548	关庭	广州	850	干锅田鸡	88	1	40.0	其他肉类	麻辣	2016-08-02 19:04:29
20160802548	关庭	广州	850	百里香奶油烤红酒牛肉	178	1	70.0	牛肉类	香甜	2016-08-02 19:05:08
20160802548	关庭	广州	850	五色糯米饭(七色)	35	1	17.0	米饭类	清淡	2016-08-02 19:06:14
20160802548	关庭	广州	850	五香酱驴肉	52	1	36.0	其他肉类	酱香	2016-08-02 19:07:43
20160802688	艾少雄	广州	332	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-02 21:05:45
20160802688	艾少雄	广州	332	豌豆薯仔猪骨汤	39	1	24.0	猪肉类	清淡	2016-08-02 21:08:40
20160802688	艾少雄	广州	332	红酒炖羊肉	108	1	69.0	羊肉类	微辣	2016-08-02 21:09:37
20160802688	艾少雄	广州	332	香辣腐乳炒虾	56	1	33.0	虾类	香辣	2016-08-02 21:16:39
20160802688	艾少雄	广州	332	皮蛋瘦肉粥	16	4	9.0	粥类	咸鲜	2016-08-02 21:18:16
20160803615	孙雨翔	广州	343	香辣腐乳炒虾	56	1	33.0	虾类	香辣	2016-08-03 18:52:14
20160803615	孙雨翔	广州	343	香辣爆羊肝	28	1	15.0	羊肉类	香辣	2016-08-03 18:53:24
20160803615	孙雨翔	广州	343	炝炒大白菜	29	1	15.0	叶菜类	微辣	2016-08-03 18:53:36
20160803615	孙雨翔	广州	343	水煮鱼	65	1	45.0	鱼类	麻辣	2016-08-03 18:54:08
